-1611348.484256000025,-2450587.020227000117,433581.198549000022,-457981.498619000020,252673.689302999992,1155660.524589000037,464607.292009000026,100235.144444000005,-164305.030368999986,540381.586307000020,-62383.307798000002,1228959.358277000021,1810403.466672000010,2751280.158755000215,-114448.694356000007,326800.703299999994,721023.641650000005,884.463784000000,1022561.318256000057,-752615.809825000004,1414605.738615999930,398104.772746999981,2333232.956189000048,2206746.640070999973,2565.127828000000,331109.939507999981,428046.100452999992,-778055.882876000018,2406070.922269000206,1179898.519243000075,-765450.054613000015,2016301.414198999992,
2453965.358366999775,1698759.878136999905,1027733.462966999970,1249984.508765999926,1379564.648776999908,-455096.655853000004,568216.661649000016,646698.435978000052,2424298.706358000170,805708.136859999970,1046140.307171000051,2386202.869715999812,1731029.868221000070,3112396.086256000213,2652207.430614999961,979665.851255999994,884518.362041000044,2386774.433619999792,1698592.368562000105,1912087.715723000001,1904795.856538000051,2074528.169926000061,4400318.780546999536,2842529.937080999836,1355832.966944999993,2538277.746671000030,4129661.787210000213,2008006.403140000068,2471812.156566999853,2530596.499977000058,2530425.854452000000,3042208.544416999910,
3254869.848970999941,3786723.290049999952,2724197.285811000038,2037289.569208000088,2827652.546875999775,3131603.657349999994,4995444.115729999729,1605993.336529999971,3585968.335249000229,2566554.082522999961,3769240.350699000061,3640301.948317000177,2976776.609759999905,1130218.717109000077,2490961.311197999865,3012874.750324999914,5600148.539863999933,4917607.396441999823,2301656.716905999929,3689659.503907000180,4244625.786829000339,5099965.832275000401,1335089.941691000015,3227995.599351999816,3738654.042369999923,2575572.267010000069,4342695.922327999957,4061785.602392999921,3911527.325976999942,4570775.486380999908,3783945.072515000124,4788298.344299999997,
4360971.141952999867,3129615.441089999862,3010820.859550000168,4698166.449060999788,5606995.468500999734,3841680.903351000044,3276359.032230000012,3300197.811610000208,4219540.814605999738,3745636.881682000123,4641743.931224999949,2921135.462398000062,4517809.653091999702,4933116.928999000229,4881332.943920000456,5526318.172767000273,3677738.334484000225,4091871.772828999907,4943062.890909999609,5137813.502266000025,4515398.643617999740,3407067.567741000094,5742209.300390000455,5043564.234458000399,5535489.766111999750,5014660.046199000441,5059214.287542000413,4945873.320511000231,5526525.237432999536,2490969.987627999857,4262677.070093999617,5019652.169755999930,
5146875.021959999576,4840595.953649999574,4544740.504200000316,5280624.362600999884,6159506.699935000390,5655055.291012999602,5616860.675932999700,6252287.087988000363,5993551.875047000125,5089350.303155000322,3720356.609364000149,5707988.567273000255,6680993.164096999913,5689756.984396999702,5139302.950295000337,6855050.071959000081,5142492.731383999810,5061848.161385999992,6504121.379130999558,5228284.345685999840,5604604.712240999565,6889870.022358000278,7102485.275965999812,5275502.035046000034,6201496.627434000373,5607438.369219000451,6686737.953418999910,6649006.662012999877,5818861.900259999558,8803645.561324000359,6542528.085184000432,6675979.491166999564,
7291393.713002000004,7977260.222311000340,5068548.064222999848,6997507.902572000399,7775429.656503000297,5303986.507973999716,9562933.471253000200,6206018.283964999951,8472654.216210000217,6323194.849917000160,7685041.915002999827,7887895.612998999655,5661023.297601000406,6339414.201569999568,6627628.448936999775,6458195.575139000081,5830426.899191999808,7677660.046783000231,8255137.976587999612,7884962.159257999621,8136668.049261000007,5575428.986774999648,7605516.983097000048,6842398.613264000043,6493937.012229000218,7526006.699434000067,7373432.403756000102,8264840.065779999830,6726436.478300999850,8523191.043167000636,7298658.786654000171,7186468.129394999705,
9108146.631078999490,7360155.974252999760,8366240.450575999916,7708719.258516999893,7145204.589668000117,10169848.045863000676,6958702.734322000295,7443596.661024999805,7565262.216656999663,7436933.923870000057,8788305.327911000699,8607017.038187000901,7228536.667868999764,7840540.091576999985,9271400.552923999727,9813144.132972000167,9264634.789164999500,8719095.607669999823,6606252.687281999737,9509703.092399999499,6930645.473023000173,8004858.574292000383,7658721.478835999966,8829281.419538000599,8551516.320415999740,9300077.141140999272,8129083.328359999694,9883052.678129000589,8671775.383680000901,8699365.775212999433,10421536.730456000194,9235443.987621000037,
9276032.990132000297,10095102.272091999650,8257669.636572999880,8393287.634918000549,10359355.902512000874,8338191.866949000396,9335962.155713999644,8750874.290100000799,9798680.004069000483,8861434.375310000032,8672824.456144999713,9586866.598396999761,9371328.172532999888,9436197.518841000274,9098751.467460000888,7910275.685138000175,9792377.785212999210,9467058.361562000588,10849537.136322999373,10784262.174593999982,11748397.159764999524,9241273.167439000681,11387120.282913999632,9824210.723039999604,8706798.912077000365,10709786.481072999537,9896878.755706999451,11033265.136073999107,11564275.383005000651,9301318.131262000650,11051301.686605999246,13974915.510460000485,
10303223.238296000287,11030278.321543000638,10180492.863430000842,12175833.050710000098,12631806.461253000423,10254120.495149999857,11715117.486461000517,9909020.781963000074,11470519.228161999956,12552833.512850999832,11691042.468650000170,10339026.235733000562,10861390.590459000319,11203801.854291999713,10769246.482041999698,12148410.462123999372,11538612.068549999967,11210832.397308999673,12238218.876101000234,12631491.167487999424,10744598.608304999769,13468464.768712999299,10797683.820997999981,12138136.244000000879,10759277.244586000219,10829217.675575999543,12406294.602332999930,10934164.126661000773,13743132.540322000161,11299981.349314000458,11467830.737196000293,11839545.603639999405,
13577171.448824999854,10932391.717303000391,11493223.311002999544,13022028.657757999375,11254738.888092000037,11454180.323646999896,10874994.111640000716,12190385.826272999868,11015599.212032999843,12842769.219127999619,11450140.314001999795,13063856.460702000186,12199027.397058000788,14448709.083468999714,12112913.151597000659,12644091.977043999359,13292534.623802000657,13115347.380101999268,12681194.655670000240,11457406.995000999421,13525709.868338000029,12605983.414279999211,12029070.259622000158,14440757.687769999728,11785092.880630999804,11403271.071019999683,12902647.364218000323,12991017.653727000579,12690365.217241000384,12141741.455210000277,13522631.763846000656,13576393.530282000080,
